"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Junis, Jakob",596001,"R","75","72.5",,"76.3",,,"58.6",,
"Keller, Brad",641745,"R","74.8","73.6",,"78.1",,,"49.5","50.6",
"Pfaadt, Brandon",694297,"R","74.6","83.3","43.8","84.3",,"80.1",,"38.5",
"Thompson, Keegan",624522,"R","74.5","77.3","39.3","72.2",,"78.1",,"36.7",
"Ohtani, Shohei",660271,"R","74.3","69",,,"71.5","90.9",,"52",
"Ginn, J.T.",669372,"R","74.3","74.3","43.9","66.2",,,"31.7",,
"Criswell, Cooper",681867,"R","74.1","80.9","31.8","88.9",,,,"70",
"King, Bryan",687911,"L","74.1","76.6",,,,,,"57.4",
"Bruihl, Justin",677865,"L","73.9","75.2",,"66.2",,,,"63.8",
"France, J.P.",641585,"R","73.8",,"30.4","86.6",,"94.9",,,
"Crow, Coleman",689441,"R","73","70.1","34.5",,,"96.1",,"66",
"Kittredge, Andrew",552640,"R","72.9","84.6",,,,,"32.8",,
"Thompson, Ryan",657044,"R","72","75.9",,,,,"76",,
"Alvarez, Andrew",674841,"L","72","64.5",,"85.6",,"66.2","29.2",,
"Schreiber, John",670167,"R","72","72.9","26.4","89.9",,,,"59.6",
"Wolfram, Grant",664991,"L","71.5","85.1",,,,"42","13.7","40.7",
"Bradish, Kyle",680694,"R","71","74.2",,,,"72.6","43",,
"Kuhnel, Joel",669270,"R","70.6","77","27.8","85.5",,"36","21.2",,
"Payamps, Joel",606303,"R","70.3","66.7",,,,,,"38.7",
"Anderson, Shaun",641312,"R","69.1","73.8",,"75.8",,,"40.7","64.9",
"Barlow, Scott",605130,"R","68.3","73.6",,,,"77.5","35.1","48.8",
"Moll, Sam",594580,"L","67.9","73.5",,"83.7",,,,"47.9",
"Boyle, Joe",671212,"R","66.7","69.2",,,"80.7",,"32.1","53.7",
"Herrin, Tim",682120,"L","65.6","70.7",,,,"58.3","12.7",,
"Peterson, David",656849,"L","65.4","73.2",,"85.1",,"65.1","16.7",,
"Lovelady, Richard",663992,"L","63.6","63.8",,,,,"28.1","58.2",
"Bird, Jake",656234,"R","62","74.2",,,,"85.2",,"52.3",
"Festa, Matt",670036,"R","61.7","64.5","51.4",,,,,"53.2",
"Gray, Sonny",543243,"R","59.8","60.1","32","81.2",,"90.8",,"55.9",
"Roycroft, Chris",688297,"R","58.5","92.7","27.3",,,,,,
"Kent, Zak",687849,"R","57.2",,,,,"75.1","33.9",,
