"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Eovaldi, Nathan",543135,"R","96.9",,"69.2",,"78","78","43.1",,
"Albers, Andrew",452027,"L","96.9","97.6",,"98.9",,"79","26.5",,
"García, Deivi",665620,"R","96.9",,,"99.2",,"79.1",,"43.3",
"Ryan, Joe",657746,"R","96.9",,,"99.7",,"76.9","21.5",,
"Guerra, Deolis",500610,"R","96.9","96.4",,"92",,"97.7","34.9",,
"McClanahan, Shane",663556,"L","96.8",,,"98.7",,"52.9","22.9",,
"Ponce de Leon, Daniel",594965,"R","96.8",,"59.5","97.4",,"70",,,
"Nola, Aaron",605400,"R","96.8","95.7","46.5","99.3",,"86.6",,,
"Gant, John",607231,"R","96.8","96.3","27","96.4",,"79.2","33.6",,
"Duffy, Danny",518633,"L","96.7","94.4",,"92.3",,"92.5","40.4",,
"Fernández, Junior",658551,"R","96.7","97.6",,"91.4",,,"39.1",,
"Milone, Tommy",543548,"L","96.7",,,"95.4",,"40.1","26.9",,
"Barlow, Joe",669618,"R","96.6",,,,,"59.6","44.5",,
"Jefferies, Daulton",641726,"R","96.6","98","72.8","97.7",,,"44.8",,
"López, Jorge",605347,"R","96.6","94.8",,"98.3",,"73","23.8",,
"Brothers, Rex",571521,"L","96.6",,,,,,"13.4",,
"Kriske, Brooks",621139,"R","96.6",,,,"90.3",,"26",,
"Bass, Anthony",542914,"R","96.6","94.2",,,,,"36.7",,
"Patton, Spencer",607359,"R","96.5",,,,"96.3",,"31.3",,
"Nelson, Nick",656793,"R","96.5",,,"99.3",,"78.9","40.6",,
"Sawamura, Hirokazu",617228,"R","96.5",,,,"65.5",,"24.3",,
"Pearson, Nate",663878,"R","96.5",,,,,,"34.2",,
"Megill, Tylor",656731,"R","96.5",,,"98.2",,"56.1","22.3",,
"Mills, Wyatt",670090,"R","96.5","89.5",,,,,"23.8",,
"Acevedo, Domingo",642758,"R","96.4",,,"98.3",,,"56.4",,
"Howard, Spencer",675921,"R","96.4","94.4","47.9","99.3",,"99","34.1","49.3",
"Kopech, Michael",656629,"R","96.3",,,"90.9",,"67.8","42.3",,
"Clippard, Tyler",461325,"R","96.3","94.7",,"97.4","52.2","67.3","42.9",,
"Guerra, Javy",457915,"R","96.2","97.4",,,,"50.4","58.9",,
"Hendriks, Liam",521230,"R","96.2",,,,,"64.7","21",,
"Bettinger, Alec",676424,"R","96.2",,"57.1",,,"83.9",,,
"Archer, Chris",502042,"R","96.2",,,"92.1",,,"36.3",,
"Uceta, Edwin",670955,"R","96.2",,,"89.1",,"37",,,
